20131
   3.1913648e-01	   7.0993978e-01	
   3.0941969e-01	   7.0795143e-01	
   3.1261941e-01	   7.0590429e-01	
   3.1739527e-01	   7.0594775e-01	
   3.2154804e-01	   7.0763000e-01	
   3.0339001e-01	   7.0372323e-01	
   3.0437355e-01	   7.0448560e-01	
   3.0824865e-01	   7.0337545e-01	
   3.1211978e-01	   7.0359455e-01	
   3.1929579e-01	   7.0349366e-01	
   3.2325722e-01	   7.0398113e-01	
   2.4951524e-01	   6.9565231e-01	
   3.1506573e-01	   6.9606551e-01	
   3.3009857e-01	   6.9513425e-01	
  -7.2402438e-02	   6.9224985e-01	
  -7.1578851e-02	   6.9440465e-01	
  -6.5235679e-02	   6.9137454e-01	
  -5.4285147e-02	   6.9268881e-01	
   2.4188341e-01	   6.9196087e-01	
   2.4693510e-01	   6.9336507e-01	
   2.4766949e-01	   6.9301379e-01	
   2.5337040e-01	   6.9275911e-01	
   2.5777507e-01	   6.9391595e-01	
   3.1635797e-01	   6.9117213e-01	
   3.2192837e-01	   6.9263786e-01	
   3.3451520e-01	   6.9131035e-01	
  -9.9807718e-02	   6.8781665e-01	
  -9.4341228e-02	   6.8759189e-01	
  -9.1635317e-02	   6.8786696e-01	
  -8.9944872e-02	   6.9061517e-01	
  -8.3471962e-02	   6.8920524e-01	
  -8.0999555e-02	   6.8958973e-01	
  -7.8465303e-02	   6.8865748e-01	
  -7.4027313e-02	   6.9059358e-01	
  -7.0054539e-02	   6.8872429e-01	
  -6.5674859e-02	   6.8918502e-01	
  -6.3180599e-02	   6.8898943e-01	
  -5.9794991e-02	   6.8890739e-01	
  -5.5218124e-02	   6.8786355e-01	
  -5.2264081e-02	   6.8942678e-01	
  -4.9396438e-02	   6.8914294e-01	
  -4.5522272e-02	   6.8972817e-01	
  -4.1465150e-02	   6.8897026e-01	
  -3.4552510e-02	   6.9058474e-01	
  -3.2258984e-02	   6.8909092e-01	
  -2.6172511e-02	   6.8950625e-01	
  -2.6196142e-02	   6.8898591e-01	
  -2.1967603e-02	   6.9032743e-01	
   2.3832530e-01	   6.8882893e-01	
   2.4105397e-01	   6.8965085e-01	
   2.4959885e-01	   6.8862312e-01	
   2.5592375e-01	   6.9003394e-01	
   2.5744069e-01	   6.8858062e-01	
   2.9062853e-01	   6.9148180e-01	
   2.9511262e-01	   6.8853997e-01	
